Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS,SB%,ISO,BABIP,BB%,SO%,BB/SO,HR/SB,XBH%,RBI Rate,R Rate,Cluster,Hitter_Type,Speed_Tier
springe01,George Springer,34.0,TOR,AL,145.0,614.0,545.0,74.0,120.0,19.0,3.0,19.0,56.0,16.0,1.0,60.0,115.0,202.0,16.0,6.0,0.0,2.0,0.0,0.22,0.303,0.371,0.674,0.941,0.151,0.245,0.098,0.187,0.522,1.188,0.342,0.091,0.121,1,Power Hitter,High Speed
stallja01,Jacob Stallings,34.0,COL,NL,82.0,281.0,243.0,31.0,64.0,17.0,1.0,9.0,36.0,0.0,0.0,27.0,65.0,110.0,10.0,9.0,1.0,1.0,1.0,0.263,0.357,0.453,0.81,0.0,0.19,0.324,0.096,0.231,0.415,0.0,0.422,0.128,0.11,2,Balanced Hitter,Low Speed
stantmi03,Giancarlo Stanton,34.0,NYY,AL,114.0,459.0,417.0,49.0,97.0,20.0,0.0,27.0,72.0,0.0,0.0,38.0,143.0,198.0,17.0,2.0,0.0,2.0,2.0,0.233,0.298,0.475,0.773,0.0,0.242,0.281,0.083,0.312,0.266,0.0,0.485,0.157,0.107,2,Balanced Hitter,Low Speed
steersp01,Spencer Steer,26.0,CIN,NL,158.0,656.0,574.0,74.0,129.0,34.0,4.0,20.0,92.0,25.0,3.0,72.0,137.0,231.0,5.0,8.0,0.0,2.0,1.0,0.225,0.319,0.402,0.721,0.893,0.177,0.26,0.11,0.209,0.526,0.8,0.45,0.14,0.113,2,Balanced Hitter,High Speed
stefami01,Michael Stefanic,28.0,LAA,AL,40.0,124.0,110.0,8.0,24.0,4.0,0.0,0.0,8.0,0.0,0.0,10.0,20.0,28.0,5.0,3.0,1.0,0.0,0.0,0.218,0.301,0.255,0.555,0.0,0.037,0.267,0.081,0.161,0.5,,0.167,0.065,0.065,1,Power Hitter,Low Speed
stephty01,Tyler Stephenson,27.0,CIN,NL,138.0,515.0,457.0,69.0,118.0,26.0,1.0,19.0,66.0,1.0,0.0,48.0,117.0,203.0,9.0,8.0,0.0,2.0,2.0,0.258,0.338,0.444,0.782,1.0,0.186,0.307,0.093,0.227,0.41,19.0,0.39,0.128,0.134,2,Balanced Hitter,Low Speed
stewadj01,DJ Stewart,30.0,NYM,NL,74.0,194.0,158.0,16.0,28.0,4.0,0.0,5.0,19.0,1.0,0.0,31.0,48.0,47.0,5.0,4.0,0.0,1.0,0.0,0.177,0.325,0.297,0.622,1.0,0.12,0.217,0.16,0.247,0.646,5.0,0.321,0.098,0.082,1,Power Hitter,Low Speed
storytr01,Trevor Story,31.0,BOS,AL,26.0,106.0,94.0,8.0,24.0,7.0,0.0,2.0,10.0,6.0,3.0,11.0,33.0,37.0,2.0,1.0,0.0,0.0,2.0,0.255,0.34,0.394,0.733,0.667,0.139,0.373,0.104,0.311,0.333,0.333,0.375,0.094,0.075,2,Balanced Hitter,Moderate Speed
stottbr01,Bryson Stott,26.0,PHI,NL,148.0,571.0,506.0,65.0,124.0,19.0,2.0,11.0,57.0,32.0,3.0,53.0,93.0,180.0,9.0,3.0,0.0,9.0,1.0,0.245,0.315,0.356,0.671,0.914,0.111,0.275,0.093,0.163,0.57,0.344,0.258,0.1,0.114,1,Power Hitter,High Speed
stoweky01,Kyle Stowers,26.0,BAL/MIA,2LG,69.0,209.0,192.0,15.0,40.0,11.0,2.0,3.0,24.0,0.0,1.0,13.0,74.0,64.0,2.0,3.0,0.0,1.0,0.0,0.208,0.268,0.333,0.601,0.0,0.125,0.319,0.062,0.354,0.176,0.0,0.4,0.115,0.072,0,Contact Hitter,Low Speed
stubbga01,Garrett Stubbs,31.0,PHI,NL,54.0,187.0,164.0,18.0,34.0,4.0,1.0,1.0,11.0,5.0,0.0,17.0,50.0,43.0,0.0,4.0,0.0,1.0,0.0,0.207,0.296,0.262,0.558,1.0,0.055,0.289,0.091,0.267,0.34,0.2,0.176,0.059,0.096,0,Contact Hitter,Low Speed
suareeu01,Eugenio Suárez,32.0,ARI,NL,158.0,640.0,571.0,90.0,146.0,28.0,2.0,30.0,101.0,2.0,1.0,49.0,176.0,268.0,10.0,9.0,0.0,11.0,0.0,0.256,0.319,0.469,0.788,0.667,0.213,0.309,0.077,0.275,0.278,15.0,0.411,0.158,0.141,2,Balanced Hitter,Moderate Speed
