Player-additional,Player,Age,Team,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BA,OBP,SLG,OPS
muncyma01,Max Muncy*,33.0,LAD,NL,73.0,293.0,237.0,47.0,55.0,17.0,0.0,15.0,48.0,1.0,0.0,45.0,77.0,117.0,1.0,5.0,0.0,6.0,3.0,0.232,0.358,0.494,0.852
murphse01,Sean Murphy,29.0,ATL,NL,72.0,264.0,233.0,19.0,45.0,5.0,1.0,10.0,25.0,0.0,0.0,27.0,67.0,82.0,7.0,3.0,0.0,1.0,1.0,0.193,0.284,0.352,0.636
murphto04,Tom Murphy,33.0,SFG,NL,13.0,38.0,34.0,3.0,4.0,1.0,0.0,1.0,2.0,0.0,0.0,4.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.118,0.211,0.235,0.446
myersda01,Dane Myers,28.0,MIA,NL,44.0,108.0,95.0,17.0,25.0,6.0,1.0,3.0,19.0,4.0,1.0,8.0,36.0,42.0,0.0,3.0,0.0,2.0,0.0,0.263,0.333,0.442,0.775
narvaom01,Omar Narváez*,32.0,NYM,NL,28.0,69.0,65.0,4.0,10.0,2.0,0.0,0.0,5.0,0.0,0.0,3.0,12.0,12.0,2.0,0.0,1.0,0.0,0.0,0.154,0.191,0.185,0.376
naylobo01,Bo Naylor*,24.0,CLE,AL,123.0,389.0,354.0,39.0,71.0,10.0,2.0,13.0,39.0,6.0,3.0,29.0,122.0,124.0,3.0,2.0,2.0,2.0,1.0,0.201,0.264,0.35,0.614
naylojo01,Josh Naylor*,27.0,CLE,AL,152.0,633.0,563.0,84.0,137.0,27.0,0.0,31.0,108.0,6.0,2.0,58.0,105.0,257.0,17.0,7.0,0.0,4.0,7.0,0.243,0.32,0.456,0.776
netoza01,Zach Neto,23.0,LAA,AL,155.0,602.0,542.0,70.0,135.0,34.0,1.0,23.0,77.0,30.0,10.0,39.0,140.0,240.0,14.0,16.0,4.0,1.0,1.0,0.249,0.318,0.443,0.761
nevinty01,Tyler Nevin,27.0,OAK,AL,87.0,278.0,245.0,22.0,50.0,10.0,0.0,7.0,20.0,1.0,0.0,25.0,64.0,81.0,5.0,5.0,0.0,3.0,0.0,0.204,0.288,0.331,0.618
newmake01,Kevin Newman,30.0,ARI,NL,111.0,311.0,288.0,41.0,80.0,17.0,1.0,3.0,28.0,8.0,1.0,15.0,48.0,108.0,7.0,0.0,6.0,2.0,1.0,0.278,0.311,0.375,0.686
nidoto01,Tomás Nido,30.0,CHC/NYM,NL,49.0,140.0,130.0,14.0,25.0,4.0,0.0,4.0,12.0,0.0,0.0,5.0,35.0,41.0,1.0,0.0,3.0,2.0,0.0,0.192,0.219,0.315,0.534
nimmobr01,Brandon Nimmo*,31.0,NYM,NL,151.0,663.0,571.0,88.0,128.0,25.0,3.0,23.0,90.0,15.0,0.0,77.0,158.0,228.0,7.0,12.0,0.0,3.0,1.0,0.224,0.327,0.399,0.727
