Rk,Name,Age,Tm,Lg,G▼,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,Pos Summary,Name-additional
181,Michael A. Taylor,33,PIT,NL,106,80,72,735.2,235,229,3,3,0,.987,13,22,11,17,2,2.84,2.19,OF,taylomi02
182,Jordan Westburg,25,BAL,AL,106,106,86,934.1,279,91,181,7,16,.975,-9,-12,-10,-13,0,2.62,2.23,3B-2B-SS,westbjo01
183,Santiago Espinal,29,CIN,NL,105,90,79,816.2,253,85,162,6,20,.976,-2,-2,-5,-7,0,2.72,2.17,3B-2B-SS-OF,espinsa01
184,Wenceel Pérez,24,DET,AL,105,94,81,846.1,192,189,1,2,0,.990,3,5,-2,-2,-3,2.02,1.81,OF,perezwe01
185,Tommy Pham,36,TOT,ZZ,105,100,81,888.0,205,201,3,1,0,.995,-8,-10,-10,-13,-2,2.07,1.94,OF,phamth01
186,Oswaldo Cabrera,25,NYY,AL,104,79,70,753.1,301,136,158,7,19,.977,-3,-6,3,4,-1,3.51,2.60,3B-2B-1B-SS-OF-P,cabreos01
187,J.P. Crawford,29,SEA,AL,104,103,96,894.2,328,113,212,3,36,.991,13,17,9,12,0,3.27,3.13,SS,crawfjp01
188,LaMonte Wade Jr.,30,SFG,NL,104,92,70,785.0,739,660,78,1,59,.999,-5,-7,1,1,2,8.46,6.96,1B-OF,wadela01
189,Max Kepler,31,MIN,AL,103,88,84,806.1,176,172,4,0,1,1.000,0,0,0,0,0,1.96,1.71,OF,keplema01
190,Vinnie Pasquantino,26,KCR,AL,103,103,92,893.0,878,805,71,2,76,.998,4,6,-3,-4,-3,8.83,8.50,1B,pasquvi01
191,Adley Rutschman,26,BAL,AL,103,99,97,882.1,915,874,37,4,4,.996,1,1,4,5,3,9.29,8.84,C,rutscad01
192,Kyle Farmer,33,MIN,AL,102,59,29,565.0,188,57,129,2,17,.989,0,0,-4,-8,0,2.96,1.59,2B-3B-SS-P-1B,farmeky01
193,Miguel Rojas,35,LAD,NL,102,86,67,757.0,334,132,199,3,27,.991,5,8,11,17,0,3.94,3.06,SS-2B-3B-P-1B,rojasmi02
194,Xander Bogaerts,31,SDP,NL,101,101,90,887.2,383,147,227,9,48,.977,-4,-5,-1,-1,0,3.79,3.56,2B-SS,bogaexa01
195,Luis Arráez,27,TOT,NL,100,100,81,872.0,644,508,127,9,59,.986,0,0,-6,-8,-1,6.55,5.72,1B-2B,arraelu01
196,Jake Fraley,29,CIN,NL,100,91,71,776.2,199,193,4,2,0,.990,5,8,-1,-1,0,2.28,1.97,OF,fraleja01
197,Manny Machado,31,SDP,NL,100,100,94,873.2,232,78,147,7,11,.970,-3,-4,2,3,2,2.32,2.25,3B,machama01
198,Ozzie Albies,27,ATL,NL,99,99,98,875.2,395,153,239,3,57,.992,1,1,1,1,1,4.03,3.96,2B,albieoz01
